propID,propName,kabID,kabName,kecID,kecName,TahunProyek,TahunProgress,BulanProgress,Pencairan_Rp,Pencairan_APBN_Rp,Pencairan_APBD_Rp,Pencairan_Masyarakat_Rp,StartDate,EndDate,LastUpdate
33,JAWA TENGAH,3326,PEKALONGAN,3326020,PANINGGARAN,2008,2008,11,506250000,0,0,0,2008-11-07 00:00:00,\N,11/01/2012 02:57:18 PM
33,JAWA TENGAH,3326,PEKALONGAN,3326060,DORO,2008,2008,11,393750000,0,0,0,2008-11-04 00:00:00,\N,11/01/2012 02:57:18 PM
33,JAWA TENGAH,3326,PEKALONGAN,3326070,KARANGANYAR,2008,2008,11,506250000,0,0,0,2008-11-16 00:00:00,\N,11/01/2012 02:57:18 PM
33,JAWA TENGAH,3326,PEKALONGAN,3326080,KAJEN,2008,2008,11,675000000,0,0,0,2008-11-07 00:00:00,\N,11/01/2012 02:57:18 PM
33,JAWA TENGAH,3326,PEKALONGAN,3326100,SRAGI,2008,2008,11,562500000,0,0,0,2008-11-07 00:00:00,\N,11/01/2012 02:57:18 PM
33,JAWA TENGAH,3329,BREBES,3329100,LOSARI,2008,2008,11,900000000,0,0,0,2008-11-07 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3401,KULON PROGO,3401010,TEMON,2008,2008,12,340000000,0,0,0,2008-12-01 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3401,KULON PROGO,3401050,LENDAH,2008,2008,12,595000000,0,0,0,2008-12-02 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3401,KULON PROGO,3401060,SENTOLO,2008,2008,12,370000000,0,0,0,2008-12-01 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3401,KULON PROGO,3401090,GIRIMULYO,2008,2008,12,510000000,0,0,0,2008-12-02 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3401,KULON PROGO,3401100,NANGGULAN,2008,2008,12,595000000,0,0,0,2008-12-05 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3401,KULON PROGO,3401100,NANGGULAN,2008,2008,12,340000000,0,0,0,2008-12-01 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3402,BANTUL,3402030,KRETEK,2008,2008,12,173750000,0,0,0,2008-12-09 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3402,BANTUL,3402090,IMOGIRI,2008,2008,12,258750000,0,0,0,2008-12-09 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3402,BANTUL,3402090,IMOGIRI,2008,2008,11,517500000,0,0,0,2008-11-11 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3402,BANTUL,3402090,IMOGIRI,2008,2008,10,23750000,0,0,0,2008-10-08 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3402,BANTUL,3402100,DLINGO,2008,2008,12,173750000,0,0,0,2008-12-09 00:00:00,\N,11/01/2012 02:57:18 PM
34,D I YOGYAKARTA,3402,BANTUL,3402100,DLINGO,2008,2008,11,276250000,0,0,0,2008-11-11 00:00:00,\N,11/01/2012 02:57:18 PM
