Country Name,Indicator Name,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Ambon, Kota",Poverty Line (in IDR),140525,153814,160798,208216,268913,305245,324453,368318,417789
"Ambon, Kota",Poverty Rate (in % of population),6.56,7.43,6.51,7.92,7.61,7.67,6.83,5.98,4.42
"Ambon, Kota","Public, law and order function expenditure (in IDR)",,,,4740816862,,4880524029,5786711158,,
"Ambon, Kota",Religious function expenditure (in IDR),,,,,,,,,
"Ambon, Kota",Social protection function expenditure (in IDR),1221015676,1493803972,,7657372796,,1939849315,2412961153,,
"Ambon, Kota",Total Area (in Km²),359.45,359.45,359.45,298.61,298.61,,,,
"Ambon, Kota","Total Commercial and Rural Banks Loans Rupiah and Foreign Currency (province level, in IDR Million)",,,,,,,,,
"Ambon, Kota","Total Credit by Sector: Agriculture (province level, in IDR Million)",,,,,,,,,
"Ambon, Kota","Total Credit by Sector: Business (province level, in IDR Million)",,,,,,,,,
"Ambon, Kota","Total Credit by Sector: Construction (province level, in IDR Million)",,,,,,,,,
"Ambon, Kota","Total Credit by Sector: Manufacture (province level, in IDR Million)",,,,,,,,,
"Ambon, Kota","Total Credit by Sector: Mining and Quarrying (province level, in IDR Million)",,,,,,,,,
"Ambon, Kota","Total Credit by Sector: Other Services (province level, in IDR Million)",,,,,,,,,
"Ambon, Kota","Total Credit by Sector: Social Services (province level, in IDR Million)",,,,,,,,,
"Ambon, Kota","Total Credit by Sector: Trade (province level, in IDR Million)",,,,,,,,,
"Ambon, Kota","Total Credit by Sector: Transportation (province level, in IDR Million)",,,,,,,,,
"Ambon, Kota","Total Credit by Sector: Utilities (province level, in IDR Million)",,,,,,,,,
"Ambon, Kota","Total Credit by Utilization: Consumption (province level, in IDR Million)",,,,,,,,,
"Ambon, Kota","Total credit by Utilization: Investment (province level, in IDR Million)",,,,,,,,,
"Ambon, Kota","Total Credit by Utilization: Working Capital (province level, in IDR Million)",,,,,,,,,
"Ambon, Kota","Total Deposits (province level, in IDR Million)",,,,,,,,,
"Ambon, Kota",Total Expenditure (in IDR),2.41E+11,3.50E+11,,5.41E+11,,5.14E+11,6.59E+11,7.56E+11,
"Ambon, Kota",Total GDP based on expenditure (in IDR Million),,,,,,,,,
"Ambon, Kota","Total GDP excluding Oil and Gas (in IDR Million), Constant Price",1336062.01,1421960.47,1511618.98,1600882.7,1690270,1802670,1921330,2089900,
"Ambon, Kota","Total GDP excluding Oil and Gas (in IDR Million), Current Price",1819984.16,2089100.34,2333813.38,2668234.55,3003450,3441680,4179220,5060960,
"Ambon, Kota","Total GDP including Oil and Gas (in IDR Million), Constant Price",1336062.01,1421960.47,1511618.98,1600882.7,1690270,1802670,1921330,2089900,
"Ambon, Kota","Total GDP including Oil and Gas (in IDR Million), Current Price",1819984.16,2089100.34,2333813.38,2668234.55,3003450,3441680,4179220,5060960,
"Ambon, Kota",Total General Allocation Grant/DAU (in IDR),1.80E+11,2.91E+11,3.19E+11,3.61E+11,3.55E+11,3.66E+11,4.11E+11,4.97E+11,5.52E+11
"Ambon, Kota",Total Natural Resource Revenue Sharing/DBH SDA (in IDR),923088269,388363283,645496592,1677144064,560534927,631192164,18350617979,1525403435,
"Ambon, Kota","Total Natural Resources Revenue Sharing from Fishery (in IDR, realization value)",360493722,182074209,187437131,140043762,143432600,,,,
"Ambon, Kota","Total Natural Resources Revenue Sharing from Forestry (in IDR, realization value)",462618202,196193265,458059461,619519231,466271370,,,,
"Ambon, Kota","Total Natural Resources Revenue Sharing from Gas (in IDR, realization value)",,,,,,,,,
"Ambon, Kota","Total Natural Resources Revenue Sharing from Geothermal  Energy (in IDR, realization value)",,,,,,,,,
"Ambon, Kota","Total Natural Resources Revenue Sharing from Mining (in IDR, realization value)",,,,,34089868,,,,
